"Path","Length","LastWriteTime","Extension","Directory"
".\.github\instructions\backend.instructions.md","1349","23/11/2025 07:38:42",".md","instructions"
".\.github\instructions\frontend.instructions.md","1394","23/11/2025 07:38:42",".md","instructions"
".\.github\workflows\build.yml","2104","23/11/2025 07:38:42",".yml","workflows"
".\.github\workflows\github-actions-demo.yml","3838","23/11/2025 10:04:59",".yml","workflows"
".\.github\workflows\release.yml","4579","23/11/2025 07:38:43",".yml","workflows"
".\.github\act-history.json","172","23/11/2025 07:38:42",".json",".github"
".\.github\copilot-instructions.md","8950","23/11/2025 09:57:42",".md",".github"
".\.github\dependabot.yml","4376","23/11/2025 07:38:42",".yml",".github"
".\.mcp\config.json","3313","23/11/2025 07:38:43",".json",".mcp"
".\.vscode\settings.json","1068","23/11/2025 07:38:43",".json",".vscode"
".\backend\archives_report\2025-11-18T20-38-02-033Z_ai_assistant.json","1009","21/11/2025 09:57:55",".json","archives_report"
".\backend\archives_report\2025-11-18T20-38-54-098Z_ai_assistant_testsave.json","119","21/11/2025 09:57:55",".json","archives_report"
".\backend\archives_report\2025-11-18T23-57-40-774Z_mock_test.json","436","21/11/2025 09:57:55",".json","archives_report"
".\backend\archives_report\2025-11-19T00-40-05-095Z_mock_test.json","436","21/11/2025 09:57:55",".json","archives_report"
".\backend\backend\archives_report\2025-11-22T17-30-11-232Z_test.json","416","23/11/2025 08:15:39",".json","archives_report"
".\backend\backend\archives_report\2025-11-22T17-30-11-234Z_mock_test.json","436","23/11/2025 08:15:39",".json","archives_report"
".\backend\backend\archives_report\2025-11-22T17-40-27-423Z_mock_test.json","436","23/11/2025 08:15:39",".json","archives_report"
".\backend\backend\archives_report\2025-11-22T17-40-27-428Z_test.json","416","23/11/2025 08:15:40",".json","archives_report"
".\backend\backend_archives\memochou1993__gpt-ai-assistant\meta.json","366","21/11/2025 09:57:55",".json","memochou1993__gpt-ai-assistant"
".\backend\backend_archives\memochou1993__gpt-ai-assistant\README.md","1896","21/11/2025 09:57:55",".md","memochou1993__gpt-ai-assistant"
".\backend\backend_archives\mockowner__mockrepo\meta.json","228","21/11/2025 09:57:55",".json","mockowner__mockrepo"
".\backend\backend_archives\mockowner__mockrepo\README.md","37","21/11/2025 09:57:55",".md","mockowner__mockrepo"
".\backend\backend_archives\owner__repo\meta.json","221","21/11/2025 09:57:55",".json","owner__repo"
".\backend\backend_archives\owner__repo\README.md","17","21/11/2025 09:57:55",".md","owner__repo"
".\backend\backend_archives\TabbyML__tabby\meta.json","312","21/11/2025 09:57:55",".json","TabbyML__tabby"
".\backend\data\pending_patches\1763507871116-kz4qgx.json","195","18/11/2025 15:17:51",".json","pending_patches"
".\backend\data\pending_patches\1763508401899-hnjbk8.json","195","18/11/2025 15:26:41",".json","pending_patches"
".\backend\data\pending_patches\1763509149406-80t8u8.json","195","18/11/2025 15:39:09",".json","pending_patches"
".\backend\data\pending_patches\1763509200971-5o4wbw.json","195","18/11/2025 15:40:00",".json","pending_patches"
".\backend\data\pending_patches\1763509215820-hcocrm.json","195","18/11/2025 15:40:15",".json","pending_patches"
".\backend\data\pending_patches\1763509522134-ecvwfn.json","195","18/11/2025 15:45:22",".json","pending_patches"
".\backend\data\pending_patches\1763509542337-zciho0.json","195","18/11/2025 15:45:42",".json","pending_patches"
".\backend\data\pending_patches\1763510010220-41bauc.json","195","18/11/2025 15:53:30",".json","pending_patches"
".\backend\data\pending_patches\1763510065178-7t8ftt.json","195","18/11/2025 15:54:25",".json","pending_patches"
".\backend\data\pending_patches\1763513866070-2yo7mp.json","195","18/11/2025 16:57:46",".json","pending_patches"
".\backend\data\pending_patches\1763516092735-k818au.json","195","18/11/2025 17:34:52",".json","pending_patches"
".\backend\data\pending_patches\1763689197137-3bjqxe.json","195","20/11/2025 17:39:57",".json","pending_patches"
".\backend\data\pending_patches\1763689335556-x14jfo.json","195","20/11/2025 17:42:15",".json","pending_patches"
